start_station_id,start_station_name,start_lat,start_lng,end_station_id,end_station_name,end_lat,end_lng
13338,Mies van der Rohe Way & Chicago Ave,41.896944626370825,-87.62175768613815,NULL,NULL,NULL,NULL
13341,Canal St & Madison St,41.882409,-87.639767,NULL,NULL,NULL,NULL
13345,Calumet Ave & 35th St,41.831379,-87.618034,NULL,NULL,NULL,NULL
13353,Ada St & Washington Blvd,41.88283,-87.661206,NULL,NULL,NULL,NULL
13354,Ashland Ave & 13th St,41.865234,-87.666507,NULL,NULL,NULL,NULL
13379,Clarendon Ave & Gordon Ter,41.95786652415174,-87.64950513839722,NULL,NULL,NULL,NULL
13389,Clarendon Ave & Junior Ter,41.961004,-87.649603,NULL,NULL,NULL,NULL
13398,Blackstone Ave & Hyde Park Blvd,41.802562,-87.590368,NULL,NULL,NULL,NULL
13409,Sangamon St & Washington Blvd,41.883165,-87.6511,NULL,NULL,NULL,NULL
13420,MLK Jr Dr & Pershing Rd,41.8246,-87.61678,NULL,NULL,NULL,NULL
13427,Cityfront Plaza Dr & Pioneer Ct,41.890573,-87.622072,NULL,NULL,NULL,NULL
13430,LaSalle St & Illinois St,41.890762,-87.631697,NULL,NULL,NULL,NULL
13431,Adler Planetarium,41.866095,-87.607267,NULL,NULL,NULL,NULL
13432,Wood St & Hubbard St,41.889899,-87.671473,NULL,NULL,NULL,NULL
13434,Ashland Ave & Grand Ave,41.891072,-87.666611,NULL,NULL,NULL,NULL
1524189,Lowell Ave & Armitage,41.9170767,-87.7353543,NULL,NULL,NULL,NULL
15442,Ashland Ave & Archer Ave,41.83920868403,-87.6656098589,NULL,NULL,NULL,NULL
15443,Shields Ave & 28th Pl,41.842733,-87.635491,NULL,NULL,NULL,NULL
15445,Wentworth Ave & 33rd St,41.83452988563,-87.6318229814,NULL,NULL,NULL,NULL
15449,State St & Pershing Rd,41.82301523798,-87.6265680185,NULL,NULL,NULL,NULL
15470,Calumet Ave & 51st St,41.80229465088,-87.6180535802,NULL,NULL,NULL,NULL
15491,63rd St Beach,41.78091096424803,-87.57632374763489,NULL,NULL,NULL,NULL
15529,Mies van der Rohe Way & Chestnut St,41.8985866514,-87.6219152258,NULL,NULL,NULL,NULL
15530,Rush St & Superior St,41.89576474564,-87.6259080327,NULL,NULL,NULL,NULL
15534,Field Blvd & South Water St,41.88634906269,-87.6175165471,NULL,NULL,NULL,NULL
15535,Desplaines St & Randolph St,41.883703,-87.644238,NULL,NULL,NULL,NULL
15539,Desplaines St & Jackson Blvd,41.87811890091227,-87.64394760131836,NULL,NULL,NULL,NULL
15541.1.1,Buckingham Fountain,41.869515,-87.6240634,NULL,NULL,NULL,NULL
15541.1.1,Buckingham Fountain,41.876368,-87.6205586,NULL,NULL,NULL,NULL
15541.1.1,Buckingham Fountain,41.876665,-87.620483,NULL,NULL,NULL,NULL
15542,Clinton St & Polk St,41.87146651779,-87.6409491327,NULL,NULL,NULL,NULL
